Variable:,tas
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1957,-1.19,-4.30,-3.96,-0.18,-2.74,-2.00,-1.33,2.54,0.61,-1.34,1.02,-3.54,-1.29,-7.24,4.22,-2.80,0.13,-2.42,-0.94,-2.96,-3.71,-4.06,-5.58
1958,0.14,-2.84,-3.96,0.88,-1.11,-0.25,0.57,4.41,2.23,0.68,1.70,-1.52,-1.09,-5.81,5.49,-1.08,1.51,-0.65,1.16,-1.17,-1.83,-3.56,-4.58
1959,-0.50,-3.80,-4.50,-0.11,-1.76,-0.72,0.63,3.96,1.62,0.16,0.73,-1.96,-1.89,-6.61,4.91,-1.71,0.69,-1.14,0.95,-1.78,-2.47,-4.34,-5.71
1960,-0.60,-3.68,-4.72,-0.01,-1.84,-1.05,-0.10,3.91,1.53,0.03,0.76,-2.24,-1.92,-6.68,4.91,-1.79,0.64,-1.41,0.69,-1.94,-2.66,-4.35,-5.49
1961,-0.16,-3.17,-4.07,0.42,-1.39,-0.78,0.42,4.55,2.08,0.55,0.99,-1.79,-1.59,-6.31,5.35,-1.42,1.23,-1.13,1.31,-1.49,-2.20,-4.00,-5.29
1962,0.01,-2.76,-2.92,0.72,-1.17,-0.65,0.20,3.91,1.73,0.14,1.71,-2.07,-0.58,-5.70,5.03,-1.25,1.29,-1.02,0.84,-1.65,-2.38,-2.95,-4.42
1963,0.70,-2.18,-2.90,1.45,-0.58,0.22,1.06,4.84,2.78,1.27,2.27,-0.99,-0.36,-5.37,5.98,-0.51,2.15,-0.14,1.75,-0.64,-1.32,-2.95,-4.07
1964,-0.64,-3.64,-3.85,0.01,-1.70,-1.02,-0.23,3.20,1.14,-0.51,1.07,-2.59,-1.29,-6.50,4.57,-1.62,0.55,-1.37,0.13,-2.12,-2.83,-3.75,-5.25
1965,0.39,-2.37,-3.03,1.24,-0.71,-0.28,-0.10,4.65,2.53,0.77,2.03,-1.67,-0.47,-5.51,5.87,-0.77,1.98,-0.63,1.26,-1.08,-1.84,-2.96,-4.26
1966,-0.32,-3.23,-3.76,0.50,-1.76,-1.26,-0.78,3.98,1.66,-0.07,1.59,-2.53,-0.89,-6.20,5.08,-1.87,0.98,-1.64,0.50,-2.03,-2.82,-3.33,-4.60
1967,-0.65,-3.62,-4.84,-0.08,-1.70,-0.86,0.61,3.44,1.46,-0.21,0.52,-2.01,-2.20,-6.65,4.61,-1.68,0.79,-1.20,0.73,-1.82,-2.55,-4.74,-5.78
