Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1966,14.60,14.89,16.42,11.12,21.98,10.09,17.57,20.52,17.80,23.32,10.25,15.38,15.83,12.28,20.44,10.18,11.99,16.56,10.67,16.80,7.80,18.98,20.82,4.60,17.12
1967,14.95,15.33,16.89,11.66,22.33,10.17,17.89,21.07,18.35,23.56,10.63,15.84,16.33,12.63,20.83,10.31,12.28,17.06,10.97,17.21,7.85,19.35,21.31,4.62,17.73
1968,15.06,15.48,16.89,11.47,22.16,10.60,18.07,20.75,18.26,23.33,10.25,15.97,16.21,12.83,20.19,10.75,12.66,16.72,11.10,17.40,8.43,19.36,21.27,5.12,17.48
1969,15.16,15.55,17.12,12.08,22.36,10.29,18.48,20.69,18.41,23.50,10.92,15.92,16.84,13.19,20.40,10.40,12.32,17.30,11.63,17.77,7.90,19.59,21.72,4.53,18.01
1970,15.08,15.45,16.95,11.80,22.54,10.22,18.36,20.94,18.36,23.59,10.68,15.93,16.50,12.88,20.56,10.45,12.27,17.13,11.27,17.58,7.91,19.57,21.63,4.80,17.81
1971,14.53,15.18,16.62,11.18,21.73,9.46,17.86,20.32,17.84,22.74,9.94,15.76,15.96,12.71,19.96,10.01,11.81,16.36,10.97,17.34,6.95,18.95,20.92,4.05,17.13
1972,14.69,15.34,16.92,11.51,22.05,9.59,17.81,20.65,18.20,23.21,10.45,15.56,16.14,12.44,20.46,10.16,11.88,16.85,10.97,16.99,7.17,19.22,21.18,4.34,17.52
1973,14.46,14.93,16.56,11.17,21.71,9.88,17.22,20.31,17.66,22.83,10.22,15.29,15.86,12.25,20.26,10.13,11.90,16.48,10.71,16.58,7.44,18.66,20.71,4.30,17.10
1974,14.50,15.13,16.79,11.01,21.65,9.77,17.55,20.38,17.91,22.69,9.97,15.41,15.69,12.30,20.03,10.13,11.87,16.30,10.52,16.74,7.58,18.88,20.67,5.05,16.95
1975,14.76,15.47,17.06,11.26,21.90,10.13,17.75,20.43,18.11,22.91,10.23,15.81,15.92,12.41,20.08,10.30,12.26,16.65,10.71,17.01,7.77,19.05,21.03,4.87,17.28
1976,14.23,14.64,16.33,10.84,21.55,9.47,17.19,20.10,17.73,22.60,9.79,15.09,15.51,12.12,19.68,10.04,11.67,16.17,10.37,16.47,7.20,18.58,20.55,4.19,16.78
1977,15.14,15.63,17.15,11.61,22.61,10.34,18.17,21.38,18.56,23.73,10.45,16.18,16.42,13.23,21.42,11.04,12.68,16.81,11.39,17.66,7.58,19.51,21.25,4.68,17.43
1978,14.99,15.30,16.72,11.58,22.43,10.56,17.59,20.80,18.06,23.63,10.52,15.89,16.20,12.90,20.86,10.82,12.60,16.98,11.13,17.14,8.11,18.98,21.14,5.18,17.51
1979,14.81,15.45,17.03,10.94,21.96,10.67,17.35,20.53,18.17,23.05,10.26,15.83,15.53,12.50,20.21,10.75,12.74,16.54,10.64,16.73,8.16,18.88,20.74,5.19,16.96
1980,15.12,15.97,17.55,11.51,22.19,10.35,18.21,21.10,18.96,23.23,10.49,16.33,16.19,13.12,20.73,10.77,12.63,16.80,11.20,17.56,7.66,19.62,21.23,4.53,17.43
1981,15.00,15.64,17.01,11.53,22.08,10.35,17.81,21.02,18.64,23.13,10.22,16.12,16.14,12.96,20.81,10.80,12.52,16.60,11.09,17.25,7.97,19.38,21.10,4.99,17.49
1982,15.07,15.73,17.24,11.62,22.30,10.11,18.17,21.28,18.86,23.23,10.37,16.13,16.34,12.99,20.93,10.75,12.54,16.68,11.32,17.49,7.61,19.70,21.28,4.84,17.56
1983,14.73,15.18,16.61,11.14,21.63,10.50,17.45,20.46,18.16,22.62,10.27,15.59,15.87,12.41,20.22,10.48,12.34,16.39,10.81,16.79,8.39,18.94,20.59,5.19,17.00
1984,14.18,14.75,16.45,10.68,21.74,9.26,17.06,20.66,17.97,22.86,9.86,14.87,15.37,11.80,20.73,9.71,11.31,16.14,10.36,16.18,7.16,18.78,20.34,4.32,16.66
1985,15.11,15.55,17.24,11.36,22.44,10.63,17.87,21.51,18.86,23.45,10.41,15.85,16.11,12.85,21.17,10.89,12.64,16.73,11.20,17.07,8.39,19.66,21.08,5.28,17.31
1986,15.13,15.46,17.23,11.94,22.77,10.00,18.28,21.58,18.94,23.73,10.78,15.71,16.68,13.07,21.13,10.53,12.24,17.16,11.63,17.48,7.65,19.82,21.62,4.51,17.94
1987,15.02,15.41,17.12,11.45,21.91,10.87,17.67,20.63,18.56,22.84,10.55,15.82,16.18,12.87,20.18,11.08,12.83,16.77,11.29,17.05,8.33,19.15,20.99,5.26,17.37
1988,14.62,14.96,16.39,11.12,21.63,10.08,17.58,20.34,17.88,22.69,10.23,15.40,15.90,12.57,20.29,10.25,12.01,16.51,10.96,16.95,7.98,18.88,20.71,5.06,17.02
1989,15.32,15.91,17.42,11.94,22.03,10.76,18.37,20.75,18.81,22.87,10.60,16.43,16.73,13.42,20.10,11.00,12.99,17.00,11.71,17.85,8.27,19.57,21.50,5.12,17.90
1990,14.97,15.31,16.90,11.39,21.93,10.64,17.79,20.60,18.35,22.98,10.45,15.95,16.17,12.98,20.27,10.80,12.62,16.73,11.18,17.29,8.27,19.10,20.92,4.94,17.33
1991,14.97,15.42,17.18,11.70,22.45,9.85,17.89,21.34,18.77,23.46,10.78,15.82,16.45,13.04,21.22,10.53,12.19,17.02,11.51,17.32,7.44,19.52,21.22,4.42,17.58
1992,14.60,15.18,16.91,11.07,21.73,9.70,17.59,20.56,18.26,22.69,10.38,15.55,15.73,12.73,20.29,10.33,11.85,16.62,10.87,17.09,7.50,19.03,20.65,4.55,17.09
1993,14.95,15.43,17.01,11.52,22.13,10.25,17.75,20.89,18.36,23.19,10.66,15.84,16.11,13.02,20.59,10.70,12.27,16.98,11.13,17.30,8.12,19.15,20.99,5.10,17.53
1994,15.53,15.89,17.39,12.52,22.98,10.44,18.63,21.57,19.09,23.98,11.34,16.52,17.18,13.71,21.22,11.08,12.80,17.69,12.06,18.13,7.69,19.99,22.04,4.51,18.53
1995,14.96,15.17,16.64,12.12,22.14,10.04,17.89,20.87,18.25,23.24,10.69,15.86,16.86,12.98,21.02,10.72,12.38,17.05,11.56,17.28,7.52,19.05,21.49,4.56,18.08
