Variable:,tas
,Azerbaijan,Absheron,Aran,"Daghlig Shirvan",Ganja-Gazakh,Guba-Khachmaz,Kalbajar-Lachin,Lankaran,Nakhchivan,Shaki-Zaqatala,"Yukhari Garabakh","Administrative unit not available"
2011,12.77,13.67,15.13,11.59,12.09,9.81,8.32,13.42,9.81,10.27,12.79,14.67
2012,13.77,14.59,16.13,12.60,13.13,10.74,9.42,14.40,10.92,11.23,13.90,15.58
2013,13.56,14.53,15.91,12.43,12.75,10.75,8.95,14.33,10.46,10.99,13.50,15.55
2014,13.84,14.57,16.13,12.59,13.43,10.82,9.56,14.35,11.19,11.38,13.95,15.57
2015,13.95,14.77,16.32,12.78,13.29,11.00,9.52,14.55,11.12,11.46,14.00,15.78
2016,13.34,14.16,15.73,12.20,12.67,10.42,8.81,13.99,10.41,10.83,13.35,15.20
2017,13.62,14.46,15.99,12.47,12.97,10.72,9.16,14.21,10.73,11.14,13.66,15.46
2018,14.57,15.25,16.93,13.38,14.13,11.51,10.26,15.13,11.90,12.12,14.71,16.22
2019,14.15,14.98,16.51,12.97,13.54,11.21,9.70,14.68,11.30,11.69,14.20,15.97
2020,13.76,14.56,16.07,12.59,13.28,10.86,9.39,14.15,11.00,11.42,13.79,15.49
2021,14.29,15.03,16.67,13.10,13.69,11.36,9.88,14.95,11.48,11.85,14.34,16.06
